Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
146613439195230,Michel-Edouard Leclerc,Michel-Edouard Leclerc,22522.0,303
1013136962076896,Mercedes-Benz Utilitaires France,These ads ran without a disclaimer,22508.0,10
110282480876685,1Planet4All,ACTED,22501.0,314
160214000656460,DOP,These ads ran without a disclaimer,22461.0,3
187348407967116,Asmae - Association Soeur Emmanuelle,Asmae - Association Soeur Emmanuelle,22396.0,351
1497801067022790,Ma Solution Conso,These ads ran without a disclaimer,22234.0,110
340194730227571,Panneaux Solaires 1€,These ads ran without a disclaimer,21942.0,22
449003618508780,France Parrainages,France Parrainages,21927.0,1239
208868999155447,Unadev - Union Nationale des Aveugles et Déficients Visuels,Union Nationale des Aveugles et Déficients Visuels,21916.0,162
1398587720206357,Clear Fashion,Clear Fashion,21904.0,34
154999229992641,Groupe SNCF,These ads ran without a disclaimer,21887.0,2
79566127213,Challenges,These ads ran without a disclaimer,21875.0,58
9547656123,Croix-Rouge française,Croix-Rouge française,21675.0,614
111174977254488,BeOcean,Killyan Jean Rene  Preterre,21585.0,275
2141230909254663,Restons Mutualistes,Association Restons Mutualistes,21500.0,5
117398214969167,Région Sud Provence-Alpes-Côte d'Azur,Région Sud Provence-Alpes-Côte d'Azur,21462.0,22
475614645800988,Pour une santé solidaire – Solimut Mutuelle de France,Solimut Mutuelle de France,21413.0,504
375585826133048,Les énergies renouvelables,These ads ran without a disclaimer,21384.0,68
113928800051653,Artisan Isolation 1 euro,LA PLATEFORME DU LEAD,21314.0,63
299501810516,Ma Banque BNP Paribas,BNP Paribas,21163.0,12
105030968456451,Les Coulisses de la Finance,These ads ran without a disclaimer,21147.0,79
378521308935196,Running Heroes,Sport Heroes,21078.0,69
75767232402,Can-Am On-Road,These ads ran without a disclaimer,20975.0,59
109271965783066,Usbek & Rica,Usbek & Rica,20931.0,253
299566537159068,Fondation de l'AP-HP,Fondation de l'AP-HP,20833.0,19
888264821338423,Groupe VYV,Groupe VYV,20788.0,54
299688247340232,Energie-Pac.Com,LA PLATEFORME DU LEAD,20701.0,124
